price,drinkType,establishmentType,lat,long,acc
1.1,[HOME-MADE] Milo Original,Hawker,1.3730881,103.8477682,12.812999725341797
1.1,[HOME-MADE] Milo Original,Hawker,1.3730881,103.8477682,12.812999725341797
0.65,[CAN] Coca-cola/Pepsi Original,Convenience stall,1.3716216,103.845908,15.857999801635742
1.05,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,1.3716216,103.845908,15.857999801635742
1.4,[HOME-MADE] Milo Original,Coffee shop,1.3715533,103.8478215,15.3149995803833
1.6,[HOME-MADE] Bandung,Coffee shop,1.3714639,103.848095,16.242000579833984
2.3,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,1.3714639,103.848095,16.242000579833984
1.6,[HOME-MADE] Lime Juice,Coffee shop,1.3691136,103.8473881,6.0
1.6,[HOME-MADE] Bandung,Coffee shop,1.3691136,103.8473881,6.0
1.3,[CAN] Coca-cola/Pepsi Original,Coffee shop,1.3692527,103.8481039,16.04199981689453
1.9,[BOTTLE] Coca-cola/Pepsi Original,Coffee shop,1.3692527,103.8481039,16.04199981689453
1.15,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,1.3697588,103.8485219,22.01099967956543
1.0,[CAN] Coca-cola/Pepsi Original,Supermarket,1.3697528,103.8485665,15.144000053405762
1.5,[CAN] Coca-cola/Pepsi Original,Mall,1.3693246,103.8489841,10.73900032043457
1.5,[HOME-MADE] Lime Juice,Mall,1.3693573,103.8489086,11.54699993133545
1.0,[CAN] Coca-cola/Pepsi Original,Vending,1.3492129876768604,103.84937735685264,14.260032773090035
1.6,[HOME-MADE] Lime Juice,Hawker,1.3491679,103.8499861,11.425000190734863
1.5,[HOME-MADE] Bandung,Hawker,1.3491679,103.8499861,11.425000190734863
1.6,[CAN] Coca-cola/Pepsi Original,Coffee shop,1.3492129876768604,103.84937735685264,14.260032773090035
1.6,[CAN] Sprite Original,Coffee shop,1.3492129876768604,103.84937735685264,14.260032773090035
1.4,[HOME-MADE] Milo Original,Hawker,1.3491679,103.8499861,11.425000190734863
1.6,[CAN] Fanta Grape/Orange,Coffee shop,1.3492129876768604,103.84937735685264,14.260032773090035
1.2,[CAN] Coca-cola/Pepsi Original,Convenience stall,1.3504205,103.8493617,14.163000106811523
1.5,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,1.3505582682330814,103.84931671110697,13.080133022916076
1.5,[BOTTLE] Sprite Original,Convenience stall,1.3505582682330814,103.84931671110697,13.080133022916076
1.2,[CAN] Coca-cola/Pepsi Original,Convenience stall,1.3504205,103.8493617,14.163000106811523
1.2,[CAN] Sprite Original,Convenience stall,1.3504205,103.8493617,14.163000106811523
1.5,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,1.350460518116069,103.84933046158254,65.0
1.5,[BOTTLE] Sprite Original,Convenience stall,1.350460518116069,103.84933046158254,65.0
1.5,[CAN] Coca-cola/Pepsi Original,Hawker Centre,1.3506014032809024,103.8493574653478,65.0
1.5,[CAN] Sprite Original,Hawker Centre,1.3506014032809024,103.8493574653478,65.0
1.5,[HOME-MADE] Lime Juice,Hawker,1.3505761,103.8493653,25.86400032043457
1.5,[CAN] Fanta Grape/Orange,Hawker Centre,1.3506014032809024,103.8493574653478,65.0
1.3,[HOME-MADE] Milo Original,Hawker Centre,1.3506014032809024,103.8493574653478,65.0
1.7,[CAN] Coca-cola/Pepsi Original,Mall,1.3506019,103.848932,21.558000564575195
2.0,[HOME-MADE] Lime Juice,Mall,1.3506883568753516,103.84908717481063,65.0
2.0,[HOME-MADE] Bandung,Mall,1.3506883568753516,103.84908717481063,65.0
2.3,[HOME-MADE] Milo Original,Mall,1.3506019,103.848932,21.558000564575195
1.7,[CAN] Sprite Original,Mall,1.3506883568753516,103.84908717481063,65.0
0.8,[CAN] Coca-cola/Pepsi Original,Supermarket,1.3507277793550587,103.84925490152504,65.0
1.0,[CAN] Fanta Grape/Orange,Supermarket,1.350460518116069,103.84933046158254,65.0
0.65,[CAN] Sprite Original,Supermarket,1.3507277793550587,103.84925490152504,65.0
1.45,[BOTTLE] Coca-cola/Pepsi Original,Supermarket,1.3509552,103.8490444,15.605999946594238
1.0,[BOTTLE] Fanta Grape/Orange,Supermarket,1.350460518116069,103.84933046158254,65.0
2.4,[BOTTLE] Coca-cola/Pepsi Original,Supermarket,1.3509552,103.8490444,15.605999946594238
1.7,[BOTTLE] Fanta Grape/Orange,Supermarket,1.350460518116069,103.84933046158254,65.0
