_id,name,location,price,drinkType,establishmentType,additional,special
"""611c6972b0daea93bf15e85a""",Long Quan Cha Shi,1.3730881;103.8477682;12.812999725341797,1.10,[HOME-MADE] Milo Original,Hawker,,
"""611c6972b0daea93bf15e85b""",Long Quan Cha Shi,1.3730881;103.8477682;12.812999725341797,1.10,[HOME-MADE] Milo Original,Hawker,,
"""611c7069b0daea93bf15e878""",Dollar store,1.3716216;103.845908;15.857999801635742,.65,[CAN] Coca-cola/Pepsi Original,Convenience stall,,
"""611c70b9b0daea93bf15e879""",Dollar store,1.3716216;103.845908;15.857999801635742,1.05,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,,
"""611c7317b0daea93bf15e884""",S11,1.3715533;103.8478215;15.3149995803833,1.40,[HOME-MADE] Milo Original,Coffee shop,,
"""611c7327b0daea93bf15e886""",S11,1.3714639;103.848095;16.242000579833984,1.60,[HOME-MADE] Bandung,Coffee shop,,
"""611c7358b0daea93bf15e887""",7 11,1.3714639;103.848095;16.242000579833984,2.30,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,,
"""611c74b8b0daea93bf15e889""",Coffee shop,1.3691136;103.8473881;6,1.6,[HOME-MADE] Lime Juice,Coffee shop,,
"""611c74bdb0daea93bf15e88a""",Coffee shop,1.3691136;103.8473881;6,1.6,[HOME-MADE] Bandung,Coffee shop,,
"""611c7556b0daea93bf15e88f""",Buzz amk hub,1.3692527;103.8481039;16.04199981689453,1.3,[CAN] Coca-cola/Pepsi Original,Coffee shop,,
"""611c7560b0daea93bf15e890""",Buzz amk hub,1.3692527;103.8481039;16.04199981689453,1.9,[BOTTLE] Coca-cola/Pepsi Original,Coffee shop,,
"""611c77bfb0daea93bf15e896""",Ntuc,1.3697588;103.8485219;22.01099967956543,1.15,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,,
"""611c77d0b0daea93bf15e897""",Ntuc amk hub,1.3697528;103.8485665;15.144000053405762,1.00,[CAN] Coca-cola/Pepsi Original,Supermarket,,
"""611c78d2b0daea93bf15e898""",Malaysia Boleh,1.3693246;103.8489841;10.73900032043457,1.50,[CAN] Coca-cola/Pepsi Original,Mall,,
"""611c78dfb0daea93bf15e899""",Malaysia Boleh,1.3693573;103.8489086;11.54699993133545,1.50,[HOME-MADE] Lime Juice,Mall,,
"""611c61ecb0daea93bf15e838""",Vending machines around block 506,1.3492129876768604;103.84937735685264;14.260032773090037,1,[CAN] Coca-cola/Pepsi Original,Vending,,
"""611c631eb0daea93bf15e83d""",Kim san leng,1.3491679;103.8499861;11.425000190734863,1.60,[HOME-MADE] Lime Juice,Hawker,,
"""611c6328b0daea93bf15e83e""",Kim san leng,1.3491679;103.8499861;11.425000190734863,1.50,[HOME-MADE] Bandung,Hawker,,
"""611c6376b0daea93bf15e83f""",Kim,1.3492129876768604;103.84937735685264;14.260032773090037,1.60,[CAN] Coca-cola/Pepsi Original,Coffee shop,,
"""611c6381b0daea93bf15e840""",Kim,1.3492129876768604;103.84937735685264;14.260032773090037,1.60,[CAN] Sprite Original,Coffee shop,,
"""611c638db0daea93bf15e841""",Kim san leng,1.3491679;103.8499861;11.425000190734863,1.40,[HOME-MADE] Milo Original,Hawker,1.70 for cold,
"""611c6397b0daea93bf15e842""",Kim,1.3492129876768604;103.84937735685264;14.260032773090037,1.60,[CAN] Fanta Grape/Orange,Coffee shop,,
"""611c65a3b0daea93bf15e846""",Buzz bishan bus interchange,1.3504205;103.8493617;14.163000106811523,1.20,[CAN] Coca-cola/Pepsi Original,Convenience stall,,
"""611c65bcb0daea93bf15e847""",Buzz at Bishan Bus Interchange,1.3505582682330814;103.84931671110697;13.080133022916076,1.50,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,,
"""611c65cab0daea93bf15e848""",Buzz at Bishan Bus Interchange,1.3505582682330814;103.84931671110697;13.080133022916076,1.50,[BOTTLE] Sprite Original,Convenience stall,,
"""611c65e4b0daea93bf15e84a""",Newsprint bus interchange,1.3504205;103.8493617;14.163000106811523,1.20,[CAN] Coca-cola/Pepsi Original,Convenience stall,,
"""611c65f6b0daea93bf15e84b""",Newsprint bus interchange,1.3504205;103.8493617;14.163000106811523,1.20,[CAN] Sprite Original,Convenience stall,,
"""611c6619b0daea93bf15e84c""",Bus interchange,1.350460518116069;103.84933046158254;65,1.50,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,,
"""611c6625b0daea93bf15e84d""",Bus interchange,1.350460518116069;103.84933046158254;65,1.50,[BOTTLE] Sprite Original,Convenience stall,,
"""611c66f6b0daea93bf15e851""",Bishan Cafeteria at Bishan Bus Interchange,1.3506014032809024;103.84935746534781;65,1.50,[CAN] Coca-cola/Pepsi Original,Hawker Centre,,
"""611c66ffb0daea93bf15e852""",Bishan Cafeteria at Bishan Bus Interchange,1.3506014032809024;103.84935746534781;65,1.50,[CAN] Sprite Original,Hawker Centre,,
"""611c6701b0daea93bf15e853""",Bus interchange hawker centre,1.3505761;103.8493653;25.86400032043457,1.50,[HOME-MADE] Lime Juice,Hawker,,
"""611c6709b0daea93bf15e854""",Bishan Cafeteria at Bishan Bus Interchange,1.3506014032809024;103.84935746534781;65,1.50,[CAN] Fanta Grape/Orange,Hawker Centre,,
"""611c674eb0daea93bf15e855""",Bishan Cafeteria at Bishan Bus Interchange,1.3506014032809024;103.84935746534781;65,1.30,[HOME-MADE] Milo Original,Hawker Centre,Hot or cold same price,
"""611c6a99b0daea93bf15e85f""",J8 food court,1.3506019;103.848932;21.558000564575195,1.70,[CAN] Coca-cola/Pepsi Original,Mall,,
"""611c6aaeb0daea93bf15e861""",Drinks Stall and Food Junction @ J8,1.3506883568753516;103.84908717481065;65,2.00,[HOME-MADE] Lime Juice,Mall,,
"""611c6ab5b0daea93bf15e862""",Drinks Stall and Food Junction @ J8,1.3506883568753516;103.84908717481065;65,2.00,[HOME-MADE] Bandung,Mall,,
"""611c6acfb0daea93bf15e864""",J8 food court,1.3506019;103.848932;21.558000564575195,2.30,[HOME-MADE] Milo Original,Mall,2.90 for big,
"""611c6af3b0daea93bf15e865""",Drinks Stall and Food Junction @ J8,1.3506883568753516;103.84908717481065;65,1.70,[CAN] Sprite Original,Mall,,
"""611c6e81b0daea93bf15e86e""",J8 FairPrice Finest ,1.3507277793550587;103.84925490152504;65,0.80,[CAN] Coca-cola/Pepsi Original,Supermarket,,
"""611c6eceb0daea93bf15e870""",Fairprice,1.350460518116069;103.84933046158254;65,1,[CAN] Fanta Grape/Orange,Supermarket,Small bottle,
"""611c6edcb0daea93bf15e871""",J8 FairPrice Finest ,1.3507277793550587;103.84925490152504;65,0.65,[CAN] Sprite Original,Supermarket,Sold in packs of 6,
"""611c6ef8b0daea93bf15e872""",Fairprice,1.3509552;103.8490444;15.605999946594238,1.45,[BOTTLE] Coca-cola/Pepsi Original,Supermarket,,
"""611c6ef9b0daea93bf15e873""",Fairprice,1.350460518116069;103.84933046158254;65,1,[BOTTLE] Fanta Grape/Orange,Supermarket,Small bottle,
"""611c6f7eb0daea93bf15e874""",Fairprice,1.3509552;103.8490444;15.605999946594238,2.40,[BOTTLE] Coca-cola/Pepsi Original,Supermarket,Large bottle,
"""611c6f81b0daea93bf15e875""",Fairprice,1.350460518116069;103.84933046158254;65,1.70,[BOTTLE] Fanta Grape/Orange,Supermarket,Big bottle,
"""611c6fa7b0daea93bf15e876""",Fairprice,1.350460518116069;103.84933046158254;65,2.20,[BOTTLE] Sprite Original,Supermarket,Big bottle,
"""611c7029b0daea93bf15e877""",Fairprice,1.3509552;103.8490444;15.605999946594238,2.40,[BOTTLE] Sprite Original,Supermarket,Large bottle,
"""611c7129b0daea93bf15e87a""",J8 Yeos vending machine,1.3505611;103.8485964;11.487000465393066,1.30,[CAN] Coca-cola/Pepsi Original,Vending machine,,
"""611c7162b0daea93bf15e87b""",Future retail vending,1.3501619860240577;103.84934860716056;26.013679892552005,1.30,[CAN] Fanta Grape/Orange,Vending,,
"""611c716ab0daea93bf15e87c""",J8 Future Retail Vending Machine,1.3499796052794089;103.84921128665178;65,1.60,[BOTTLE] Coca-cola/Pepsi Original,Vending Machine,,
"""611c716fb0daea93bf15e87d""",Future retail vending,1.3501619860240577;103.84934860716056;26.013679892552005,1.30,[CAN] Coca-cola/Pepsi Original,Vending,,
"""611c71a0b0daea93bf15e87e""",Future retail vending,1.3501619860240577;103.84934860716056;26.013679892552005,1.30,[HOME-MADE] Bandung,Vending,,
"""611c6a4bb0daea93bf15e85c""",Beverage,1.3520077769527217;103.83741762516033;155.5635137580529,1.50,[CAN] Coca-cola/Pepsi Original,Coffee shop,,
"""611c6a62b0daea93bf15e85d""",Beverage,1.3520077769527217;103.83741762516033;155.5635137580529,1.50,[CAN] Sprite Original,Coffee shop,,
"""611c6a7ab0daea93bf15e85e""",Beverage,1.3520077769527217;103.83741762516033;155.5635137580529,1.50,[CAN] Fanta Grape/Orange,Coffee shop,,
"""611c6aa8b0daea93bf15e860""",Beverage,1.3520077769527217;103.83741762516033;155.5635137580529,1.50,[HOME-MADE] Milo Original,Coffee shop,,
